id,name,brand,street,place,lat,lng,city_search
c8bdd166-83e5-4dfe-8214-9acc64ba63aa,TotalEnergies Muelheim,TotalEnergies,Koelner Str.,Muelheim,51.363467,6.863279,Oberhausen
35ef7426-4e6d-49d7-8c28-80b893497a43,Shell Duisburg Friedrich-Ebert-Str. 510,Shell,Friedrich-Ebert-Str.,Duisburg,51.545578,6.731547,Oberhausen
92c9b940-e8ac-4019-9316-c7e1ef86ea1c,Ernst Buscher GmbH & Co. KG,BFT,Moerser Str.,Duisburg,51.415619,6.702698,Oberhausen
a543be1b-6689-4a87-a654-26a60b742ad0,Timo Schubert,Westfalen,Bottroper Str.,Bottrop,51.57097,6.91068,Oberhausen
8e08cea1-b503-4b8f-88ee-7a5c1563e185,SB Essen Steeler Str. 110,SB,Steeler Str.,Essen,51.452886,7.023913,Essen
005056ba-7cb6-1ed2-bceb-718833c98d23,star Tankstelle,STAR,Moltkestraße,Essen,51.44335,7.019425,Essen
4fe98045-6a50-4db8-88ff-4ba7d752f237,OIL! Tankstelle Essen,OIL!,Elisenstraße 69,Essen,51.4619,7.03315,Essen
e90c8a1c-3a67-48ad-b32b-0b820f49472a,Shell Essen Mueller-Breslau-Str. 42,Shell,Mueller-Breslau-Str.,Essen,51.435844,7.019194,Essen
64ac1000-7b0e-46bf-b8b1-efcf3f202002,Aral Tankstelle,ARAL,Steeler Straße,Essen,51.4472,7.04587,Essen
e5892417-0beb-415f-9d20-d8141a7cb90c,Aral Tankstelle,ARAL,Ernestinenstraße,Essen,51.467785,7.045453,Essen
5357f473-f047-44c6-b569-bab0c1b63305,Aral Tankstelle,ARAL,Rellinghauser Straße,Essen,51.43488,7.033927,Essen
4e070b04-cb1e-4959-b2e7-f50af9d1e8de,Esso Tankstelle,ESSO,RUHRALLEE 150,ESSEN,51.436997,7.043246,Essen
dbcf78ed-7e03-4f3f-b1d7-19a1e2608cc6,Shell Essen Gelsenkirchener Str. 52-54,Shell,Gelsenkirchener Str.,Essen,51.479572,7.039752,Essen
cd84c6d5-9c15-4ab8-8214-e8305df5ab6d,TotalEnergies Essen,TotalEnergies,Frankenstr.,Essen,51.422046,7.028408,Essen
1ede8890-f084-4a4b-9fff-71c7724c70dc,SB Essen Frankenstraße 74,SB,Frankenstraße,Essen,51.427018,7.045871,Essen
ef4bf3a9-3ecd-830c-e040-0b0a3efe34b2,"Essen, Am Deimelsberg 79",HEM,Am Deimelsberg,Essen,51.442833,7.067179,Essen
8423aae8-c9e2-4cbf-98b4-10b4017246b6,Esso Tankstelle,ESSO,AM ZEHNTHOF 204,ESSEN,51.4588,7.073591,Essen
380cc3c4-960a-45c4-e3df-a157084d6fca,Tank und Wasch,Freie Tankstelle Körschen,Joachimstr.,Essen,51.470116,7.070943,Essen
2693b3cf-fbc1-408b-b98c-594761a9d01a,Aral Tankstelle,ARAL,Krayer Straße,Essen,51.46206,7.078826,Essen
724cc479-6e6c-4251-b740-146a12b73982,PM Essen Krayer Str. 175,PM,Krayer Str.,Essen,51.462998,7.078734,Essen
005056ba-7cb6-1ed2-bceb-9269b56c6d35,star Tankstelle,STAR,Huestraße,Essen,51.485941,7.064316,Essen
b63e785b-7c33-4f1f-a893-dac5050d1499,Shell Essen Grenoblestr. 55,Shell,Grenoblestr.,Essen,51.446454,7.082926,Essen
005056ba-7cb6-1ed2-bceb-711467cc4d23,ORLEN Tankstelle,ORLEN,Bochumer Landstraße,Essen,51.447228,7.092898,Essen
005056ba-7cb6-1ed2-bceb-9a3b14f12d3b,star Tankstelle,STAR,Bochumer Landstraße,Essen,51.449456,7.093665,Essen
4a4a9870-56ef-40fb-ac59-4759f398fae6,Shell Essen Katernberger Str. 99,Shell,Katernberger Str.,Essen,51.503022,7.048952,Essen
005056ba-7cb6-1ed2-bceb-a8d4e3c16d41,star Tankstelle,STAR,Steeler Straße,Gelsenkirchen,51.48884,7.08421,Essen
